date	AAPL	AMZN	SPY	TSLA	IBM	JNJ
2023-10	-0.002569841321410471	0.046963447626806376	-0.02170869830482436	-0.1973463537763216	0.030933803256276704	-0.04757618997338575
2023-11	0.11378020767974384	0.0976782655173829	0.0913439289820448	0.19537943740621855	0.10867144557100583	0.05095402825440676
2023-12	0.01358240869795213	0.04004385139407618	0.04565530281602137	0.03498831153123483	0.03147081927709383	0.01344883270624031
2024-01	-0.04222721789503392	0.021455801332457725	0.015926518173811077	-0.24625725810339172	0.12295920998998278	0.013780621904279089
2024-02	-0.018543095763783546	0.1389175127740745	0.052186785307856365	0.07790064669600238	0.016644353231226594	0.023318681374426387
2024-03	-0.05128638104379557	0.020479805886374214	0.032701961970842186	-0.12923524353897475	0.032048895880113726	-0.019766981300901265
2024-04	-0.006706139146091306	-0.029825949313549094	-0.04031961762320124	0.042607689739043275	-0.12966079874965386	-0.08597261498225084
2024-05	0.13022209012990693	0.00822858537946436	0.05057982186801224	-0.02837187354253501	0.013876760189518	0.022585096071864097
2024-06	0.09555276323741091	0.09527316552932019	0.03527998068344762	0.11118599982126098	0.03655984316494609	-0.0034769922366904016
2024-07	0.054410780446340956	-0.032445041513381345	0.012109151894954095	0.17278149180183244	0.11095694272934398	0.07998087068360582
2024-08	0.03235355420680941	-0.0453524222981363	0.023365580095614957	-0.07739046902676983	0.06119429762398809	0.0587194852554509
2024-09	0.017467272878927576	0.043865556476496925	0.021004698565106228	0.22194201175563166	0.09375155245561229	-0.022910928978200018
2024-10	-0.030429263422064645	0.00037563497419568215	-0.008923670613701695	-0.045025412068364634	-0.06495386995585706	-0.013575079775937304
2024-11	0.05170692422492418	0.1152897328156477	0.059633414664085116	0.3814688622385134	0.10875686821788033	-0.02255874177602324
2024-12	0.055155291044891586	0.05531771626226978	-0.02406008195782694	0.17000808915631316	-0.03333186840989821	-0.06702797867935861
2025-01	-0.0575832459308947	0.08336748865953902	0.026856310796173677	0.0018819576379678349	0.1631715690658777	0.0520674956581515
2025-02	0.025872407000720132	-0.10686635257151178	-0.012694776777301908	-0.2758773935575025	-0.006172029266105716	0.09326941484925699
2025-03	-0.0815001347836245	-0.1037309421475675	-0.05571919842012785	-0.11543452131892018	-0.014973926706862706	0.004969143306353896
2025-04	-0.043353014323267214	-0.030694820280155133	-0.008670139114213993	0.08874826236685496	-0.027507351176990547	-0.0574651087203123
2025-05	-0.05358406523857118	0.1116473080052216	0.06284494761614745	0.2278848417863253	0.07842153315887579	0.001475376651975946
2025-06	0.021508544579914357	0.07014294555445688	0.05138613494267763	-0.08312644606383923	0.13788319054767095	-0.015849510657103494
2025-07	0.011697684229461602	0.06709513314943583	0.023031548217528286	-0.02955995259140498	-0.14122403898407443	0.07849426843143781
2025-08	0.11963891074454769	-0.021827348669553603	0.020519507582030583	0.08304410748975077	-0.03165600674943003	0.08334608478734129
2025-09	0.03398810808302377	0.016157191913721336	0.002712968038318442	0.047204031497629195	0.01981599589054861	0.0033019513456749028
