index	return	risk	AAPL	AMZN	SPY	TSLA	IBM	JNJ
0	0.016934477237824076	0.03282447336573519	0.08830520141280118	0.03344400484077677	0.6166676314925493	1.2686748492818239e-19	-1.638557585638766e-18	0.26158316225387274
1	0.017068532959222345	0.032830828859848345	0.08747189367495854	0.03849972503591237	0.6211751069262558	1.280858242055605e-19	-1.6560630751378083e-18	0.25285327436287336
2	0.01720258868062061	0.03284988796457365	0.08663858593711596	0.04355544523104777	0.6256825823599627	1.2930031076043045e-19	-1.6735406524580187e-18	0.24412338647187357
3	0.017336644402018875	0.03288162858982245	0.0858052781992733	0.04861116542618322	0.6301900577936693	1.3051228504350943e-19	-1.6909486907759329e-18	0.23539349858087416
4	0.017470700123417143	0.032926014060718246	0.08497197046143057	0.0536668856213183	0.6346975332273765	1.3171544047079192e-19	-1.708260059538192e-18	0.22666361068987464
5	0.017604755844815412	0.03298228032532373	0.08516670366655245	0.05810689494501741	0.6342787268185759	-4.699388509203531e-19	0.0026517450637848347	0.21979592950606947
6	0.017738811566213677	0.033047066187080185	0.08614660246955717	0.062076655492078865	0.6300974758748774	-4.660636104231466e-19	0.007328758686643179	0.21435050747684342
7	0.017872867287611942	0.03311990747339262	0.08712650127256222	0.0660464160391407	0.6259162249311778	-4.622188807460593e-19	0.01200577230950179	0.20890508544761746
8	0.01800692300901021	0.03320075116434455	0.08810640007556692	0.07001617658620159	0.6217349739874805	-4.583344824573168e-19	0.016682785932360195	0.2034596634183909
9	0.01814097873040848	0.03328953895843516	0.0890862988785718	0.07398593713326342	0.617553723043781	-4.545004423932605e-19	0.021359799555218828	0.1980142413891649
10	0.018275034451806744	0.03338620747571407	0.09006619768157653	0.07795569768032451	0.613372472100083	-4.50666899462247e-19	0.02603681317807716	0.1925688193599387
11	0.01840909017320501	0.03349068847479085	0.09104609648458144	0.08192545822738591	0.6091912211563844	-4.467799604700571e-19	0.03071382680093547	0.1871233973307129
12	0.018543145894603277	0.03360290908206252	0.09202599528758636	0.08589521877444747	0.6050099702126854	-4.428947654453588e-19	0.03539084042379409	0.18167797530148672
13	0.018677201616001546	0.03372279203145906	0.09300589409059119	0.08986497932150872	0.6008287192689872	-4.390624422732144e-19	0.040067854046652654	0.17623255327226012
14	0.01881125733739981	0.03385025591298425	0.093985792893596	0.09383473986856988	0.5966474683252889	-4.352177719239399e-19	0.04474486766951093	0.17078713124303424
15	0.018945313058798076	0.03398521542832737	0.09496569169660077	0.09780450041563114	0.5924662173815908	-4.312772802977077e-19	0.04942188129236935	0.16534170921380797
16	0.019079368780196344	0.0341275816518388	0.09594559049960559	0.10177426096269254	0.5882849664378922	-4.2740354187133974e-19	0.05409889491522794	0.1598962871845817
17	0.019213424501594613	0.0342772622951985	0.0969254893026105	0.10574402150975423	0.5841037154941933	-4.235795217501291e-19	0.05877590853808647	0.1544508651553555
18	0.019347480222992878	0.03443416197415811	0.09790538810561526	0.10971378205681535	0.5799224645504952	-4.1968294506173745e-19	0.06345292216094488	0.1490054431261292
19	0.019481535944391143	0.034598182475804776	0.09888528690862028	0.11368354260387682	0.5757412136067961	-4.1584714202731924e-19	0.06812993578380333	0.14356002109690347
20	0.01961559166578941	0.03476922302487389	0.09986518571162502	0.11765330315093804	0.571559962663098	-4.119651081976788e-19	0.07280694940666167	0.13811459906767726
21	0.01974964738718768	0.03494718054772896	0.10084508451462997	0.12162306369799995	0.5673787117193985	-4.081301597932251e-19	0.07748396302952025	0.13266917703845135
22	0.019883703108585945	0.03513194993272532	0.10182498331763488	0.1255928242450613	0.5631974607757	-4.042343131534465e-19	0.08216097665237872	0.12722375500922525
23	0.02001775882998421	0.03532342428578066	0.10280488212063962	0.12956258479212251	0.5590162098320017	-4.0041164209403545e-19	0.08683799027523714	0.1217783329799989
24	0.02015181455138248	0.03552149518008566	0.10378478092364454	0.13353234533918387	0.5548349588883033	-3.965755714519165e-19	0.09151500389809566	0.11633291095077272
25	0.020285870272780747	0.035726052899001125	0.10476467972664937	0.1375021058862453	0.5506537079446047	-3.9264739285159595e-19	0.09619201752095428	0.11088748892154633
26	0.020419925994179012	0.035936986671303024	0.10574457852965433	0.14147186643330698	0.5464724570009052	-3.8886810991742233e-19	0.10086903114381268	0.10544206689232076
27	0.020553981715577277	0.03615418489805025	0.10672447733265905	0.14544162698036806	0.5422912060572074	-3.8492720359677445e-19	0.10554604476667095	0.0999966448630945
28	0.020688037436975545	0.03637753537046191	0.10770437613566407	0.14941138752742977	0.5381099551135079	-3.8108456662126105e-19	0.11022305838952955	0.09455122283386873
29	0.020822093158373814	0.03660692547830011	0.10868427493866886	0.15338114807449096	0.5339287041698099	-3.772402911472581e-19	0.11490007201238807	0.08910580080464225
30	0.02095614887977208	0.03684224240835832	0.10966417374167352	0.15735090862155202	0.529747453226112	-3.733638962560986e-19	0.11957708563524644	0.08366037877541604
31	0.021090204601170344	0.037083373332754695	0.11064407254467841	0.16132066916861343	0.5255662022824134	-3.695305724513421e-19	0.12425409925810488	0.07821495674618993
32	0.021224260322568612	0.03733020558682335	0.11162397134768347	0.16529042971567554	0.5213849513387132	-3.6565503532471055e-19	0.12893111288096348	0.07276953471696421
33	0.02135831604396688	0.03758262683648311	0.11260387015068817	0.16926019026273656	0.5172037003950156	-3.617563491951659e-19	0.13360812650382198	0.06732411268773755
34	0.021492371765365146	0.037840525235043866	0.11358376895369299	0.17322995080979775	0.5130224494513176	-3.5792428560647836e-19	0.13828514012668025	0.06187869065851141
