	AAPL	AMZN	SPY	TSLA	IBM	JNJ
AAPL	0.0034774433833440017	0.00042274760596030543	0.0007845427783527433	0.0031277324829768025	0.00010071034515834974	0.0008350855747700052
AMZN	0.00042274760596030543	0.004320900690850984	0.001601980807756616	0.005318245230249175	0.0018134646347117938	-0.0005115538654333177
SPY	0.0007845427783527433	0.001601980807756616	0.0012518441527904307	0.002295447470104691	0.0015065540881174758	0.0005563675044682633
TSLA	0.0031277324829768025	0.005318245230249175	0.002295447470104691	0.025568293575996447	0.0020173517709311324	-0.0012962781373347101
IBM	0.00010071034515834974	0.0018134646347117938	0.0015065540881174758	0.0020173517709311324	0.006235319719345819	0.0006639242102693173
JNJ	0.0008350855747700052	-0.0005115538654333177	0.0005563675044682633	-0.0012962781373347101	0.0006639242102693173	0.0024190314367228782
